id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
977329599325064066,Brownstone 5 mins from downtown,227889113,Lee,Roxbury,42.33322,-71.08187,Entire home/apt,450.0,29,1,0.06,7,270
978554728200073625,Stunning Unique And Very Upscale,163848078,Adam,Jamaica Plain,42.32852,-71.11264,Entire home/apt,320.0,29,2,0.12,73,270
978849188811936609,Full Bedroom D in #1349: JFK/UMass,297860058,Sophia,Dorchester,42.31821942051798,-71.05443692792049,Private room,52.0,91,0,0.0,11,184
978993066417058463,Beautiful Victorian house with Views. free parking,351001469,Tan,Dorchester,42.2957068309299,-71.06245390225585,Entire home/apt,336.0,2,30,1.64,1,56
980483606576205347,(42L4) TD Garden - Perfect Spot!,331225367,Paige,Downtown,42.36624004511256,-71.06512775914476,Entire home/apt,238.0,1,69,3.78,81,82
981123327835096425,Centrally located 1bed | Newbury Street,275849638,Sean,Back Bay,42.34997392964146,-71.0863109533545,Entire home/apt,189.0,1,55,3.25,70,227
981176309557245367,Cozy 1BDR Close to Fenway!,275849638,Sean,Fenway,42.34932333395925,-71.09343258651612,Entire home/apt,116.0,1,66,3.76,70,193
981474662331880096,ChinaTown 3BR w/City Skyline View Pool Gym Parking,463475392,Haroldo,Chinatown,42.35231,-71.06238,Entire home/apt,431.0,29,5,0.29,12,265
982664247534584837,Spacious entire place North end,236817626,Anastasia,North End,42.364829008813416,-71.05711950871205,Entire home/apt,215.0,2,44,2.55,3,316
982785768019165803,Luxury 2Bed/2 Bath suite in the heart South Boston,437249260,Blerina,South Boston,42.33784754757809,-71.05078172019155,Entire home/apt,240.0,2,82,4.64,2,24
983274420705627350,Adventure: Therapy - Boston,38121625,Edson,East Boston,42.37678841792915,-71.03961241652674,Entire home/apt,80.0,2,14,0.79,2,130
983776069017896796,Penthouse 2 Beds /2 Baths luxury in South Boston,437249260,Blerina,South Boston,42.33587636211053,-71.05071114287647,Entire home/apt,253.0,2,78,4.4,2,73
984131313023329638,Queen Bedroom in North End,130680380,Jodie,Downtown,42.36554,-71.05874,Private room,154.0,9,0,0.0,20,286
985434237035903198,"Walk to Berklee, Fenway & Newbury St",22348222,Maverick,Fenway,42.34658,-71.08952,Entire home/apt,135.0,1,160,9.01,87,187
